id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,extracted_at
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2506.75,301897723855,2,301897723855,12529343535,2544.32,2482.52,12.41,0.49755,919834452.0,0.30562,120723694.2120103,120723694.2120103,,4878.26,-48.72424,2021-11-10T14:24:19.604Z,0.432979,577610.6554,2015-10-20T00:00:00.000Z,"{'times': 31.15945682599758, 'currency': 'btc', 'percentage': 3115.945682599758}",2025-06-02T13:45:19.037Z,2025-06-02 13:45:25.664938
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.190169,28416132682,8,28416655335,950052176,0.194233,0.189149,0.00075301,0.39754,130908732.0,0.46282,149514656383.7052,149517406383.7052,,0.731578,-74.01297,2021-05-08T05:08:23.458Z,8.69e-05,218665.47851,2015-05-06T00:00:00.000Z,,2025-06-02T13:45:19.682Z,2025-06-02 13:45:25.664938
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,104182.0,2071323638790,1,2071323638790,23048409234,105804.0,103977.0,-128.78773418432684,-0.12347,-705315993.0844727,-0.03404,19873368.0,19873368.0,21000000.0,111814.0,-6.79651,2025-05-22T18:41:28.492Z,67.81,153588.60419,2013-07-06T00:00:00.000Z,,2025-06-02T13:48:41.268Z,2025-06-02 13:48:52.832069
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2508.42,302648870910,2,302648870910,12578533417,2544.32,2482.52,13.48,0.54022,1572231363.0,0.5222,120723694.2120103,120723694.2120103,,4878.26,-48.72424,2021-11-10T14:24:19.604Z,0.432979,577610.6554,2015-10-20T00:00:00.000Z,"{'times': 31.204792759154998, 'currency': 'btc', 'percentage': 3120.4792759155}",2025-06-02T13:48:42.095Z,2025-06-02 13:48:52.832069
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.190174,28434226002,8,28434748988,950442973,0.194233,0.189149,0.00075249,0.39726,122648536.0,0.43321,149514656383.7052,149517406383.7052,,0.731578,-74.01297,2021-05-08T05:08:23.458Z,8.69e-05,218665.47851,2015-05-06T00:00:00.000Z,,2025-06-02T13:48:42.798Z,2025-06-02 13:48:52.832069
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,104152.0,2071323638790,1,2071323638790,23064204466,105804.0,103977.0,-158.1262343046692,-0.15159,-705315993.0844727,-0.03404,19873368.0,19873368.0,21000000.0,111814.0,-6.79651,2025-05-22T18:41:28.492Z,67.81,153588.60419,2013-07-06T00:00:00.000Z,,2025-06-02T13:50:05.662Z,2025-06-02 13:50:16.784603
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2507.76,302648870910,2,302648870910,12595895475,2544.32,2482.52,12.81,0.51356,1572231363.0,0.5222,120723694.2120103,120723694.2120103,,4878.26,-48.72424,2021-11-10T14:24:19.604Z,0.432979,577610.6554,2015-10-20T00:00:00.000Z,"{'times': 31.232942313039654, 'currency': 'btc', 'percentage': 3123.2942313039657}",2025-06-02T13:50:12.947Z,2025-06-02 13:50:16.784603
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.190165,28434226002,8,28434748988,951079132,0.194233,0.189149,0.00074323,0.39237,122648536.0,0.43321,149514656383.7052,149517406383.7052,,0.731578,-74.01297,2021-05-08T05:08:23.458Z,8.69e-05,218665.47851,2015-05-06T00:00:00.000Z,,2025-06-02T13:50:07.270Z,2025-06-02 13:50:16.784603
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,104054.0,2068650863555,1,2068650863555,23252280980,105804.0,103977.0,-264.43698291041073,-0.25349,-4295175947.638428,-0.2072,19873368.0,19873368.0,21000000.0,111814.0,-6.79651,2025-05-22T18:41:28.492Z,67.81,153588.60419,2013-07-06T00:00:00.000Z,,2025-06-02T13:55:36.350Z,2025-06-02 13:55:38.113336
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2505.78,302604256236,2,302604256236,12628437317,2544.32,2482.52,10.63,0.42604,1374451091.0,0.45628,120723694.2120103,120723694.2120103,,4878.26,-48.72424,2021-11-10T14:24:19.604Z,0.432979,577610.6554,2015-10-20T00:00:00.000Z,"{'times': 31.245333280958004, 'currency': 'btc', 'percentage': 3124.5333280958002}",2025-06-02T13:55:32.413Z,2025-06-02 13:55:38.113336
